product_id,product_name,category,subcategory,cost_price
199,Trade Fiction,Books,Fiction,180.19
200,Happen Accessorie,Electronics,Accessories,11.11
201,By Education,Books,Education,363.8
202,Could Women,Clothing,Women,88.9
203,Note Decor,Home,Decor,77.24
204,Increase Footwear,Clothing,Footwear,153.38
205,Newspaper Accessorie,Electronics,Accessories,127.06
206,Care Non-Fiction,Books,Non-Fiction,72.07
207,Should Camera,Electronics,Cameras,312.0
208,Dog Garden,Home,Garden,408.66
209,They Kid,Clothing,Kids,473.9
210,About Footwear,Clothing,Footwear,482.46
211,Something Decor,Home,Decor,318.29
212,Agency Kid,Clothing,Kids,409.16
213,Fire Comic,Books,Comics,284.11
214,Major Men,Clothing,Men,233.5
215,Report Footwear,Clothing,Footwear,416.48
216,Serve Camera,Electronics,Cameras,73.89
217,Off Furniture,Home,Furniture,81.3
218,Language Education,Books,Education,495.4
219,Night Education,Books,Education,462.13
220,Hundred Fiction,Books,Fiction,182.97
221,Than Phone,Electronics,Phones,330.51
222,Drug Furniture,Home,Furniture,26.93
223,End Comic,Books,Comics,218.08
224,Magazine Phone,Electronics,Phones,257.78
225,Half Footwear,Clothing,Footwear,234.22
226,Clear Kid,Clothing,Kids,243.97
227,Fact Garden,Home,Garden,47.5
228,Current Kid,Clothing,Kids,230.39
229,Write Footwear,Clothing,Footwear,53.32
230,Type Comic,Books,Comics,27.12
231,Share Phone,Electronics,Phones,325.75
232,Southern Women,Clothing,Women,278.2
233,Budget Garden,Home,Garden,119.77
234,Almost Non-Fiction,Books,Non-Fiction,330.37
235,Table Fiction,Books,Fiction,442.13
236,Recent Education,Books,Education,353.84
237,Kind Kid,Clothing,Kids,405.32
238,Possible Phone,Electronics,Phones,270.76
239,Space Decor,Home,Decor,61.41
240,Would Comic,Books,Comics,307.6
241,Use Accessorie,Electronics,Accessories,231.64
242,Visit Kid,Clothing,Kids,297.13
243,Admit Kid,Clothing,Kids,156.16
244,Effect Kid,Clothing,Kids,257.86
245,Design Non-Fiction,Books,Non-Fiction,214.4
246,Audience Non-Fiction,Books,Non-Fiction,247.37
247,Blood Women,Clothing,Women,228.25
248,Phone Accessorie,Electronics,Accessories,244.88
249,Along Footwear,Clothing,Footwear,255.19
250,Likely Education,Books,Education,210.74
251,Piece Education,Books,Education,284.87
252,Remember Kid,Clothing,Kids,116.3
253,Score Furniture,Home,Furniture,285.0
254,Turn Fiction,Books,Fiction,137.61
255,Anything Kitchen,Home,Kitchen,223.48
256,Election Footwear,Clothing,Footwear,415.89
257,Sit Kid,Clothing,Kids,20.95
258,Another Decor,Home,Decor,48.06
259,Interest Laptop,Electronics,Laptops,370.12
260,Leg Garden,Home,Garden,73.92
261,East Women,Clothing,Women,287.19
262,Notice Furniture,Home,Furniture,353.51
263,Director Decor,Home,Decor,259.64
264,Somebody Laptop,Electronics,Laptops,393.92
265,Treat Accessorie,Electronics,Accessories,67.81
266,Stand Women,Clothing,Women,164.44
267,Arrive Footwear,Clothing,Footwear,290.83
268,Challenge Garden,Home,Garden,42.38
269,Most Camera,Electronics,Cameras,142.72
270,Figure Garden,Home,Garden,167.01
271,East Phone,Electronics,Phones,231.93
272,Team Kitchen,Home,Kitchen,201.87
273,Whom Non-Fiction,Books,Non-Fiction,164.82
274,Sign Decor,Home,Decor,69.64
275,Parent Comic,Books,Comics,382.32
276,From Phone,Electronics,Phones,419.17
277,Participant Phone,Electronics,Phones,83.2
278,Piece Fiction,Books,Fiction,216.76
279,Spring Kid,Clothing,Kids,466.7
280,Remember Kitchen,Home,Kitchen,128.94
281,Tell Furniture,Home,Furniture,314.67
282,Full Footwear,Clothing,Footwear,353.33
283,Economic Laptop,Electronics,Laptops,70.69
284,Five Footwear,Clothing,Footwear,349.32
285,Under Camera,Electronics,Cameras,241.46
286,Character Footwear,Clothing,Footwear,403.95
287,Recent Accessorie,Electronics,Accessories,153.13
288,Near Non-Fiction,Books,Non-Fiction,340.18
289,Do Phone,Electronics,Phones,86.24
290,Job Furniture,Home,Furniture,79.93
291,First Education,Books,Education,47.91
292,Face Laptop,Electronics,Laptops,296.84
293,Ask Comic,Books,Comics,160.68
294,Onto Women,Clothing,Women,46.7
295,Perhaps Kitchen,Home,Kitchen,330.91
296,Until Furniture,Home,Furniture,257.21
297,Simple Comic,Books,Comics,392.98
298,Which Footwear,Clothing,Footwear,124.34
299,Continue Phone,Electronics,Phones,467.29
300,Produce Footwear,Clothing,Footwear,286.35
301,Respond Furniture,Home,Furniture,477.45
302,Late Phone,Electronics,Phones,11.83
303,Only Men,Clothing,Men,474.6
304,Mission Comic,Books,Comics,253.02
305,Anyone Education,Books,Education,45.8
306,Guy Kid,Clothing,Kids,44.12
307,Year Women,Clothing,Women,198.41
308,Question Accessorie,Electronics,Accessories,366.33
309,Remain Men,Clothing,Men,462.69
310,I Camera,Electronics,Cameras,32.24
311,Stock Men,Clothing,Men,72.92
312,Network Laptop,Electronics,Laptops,176.62
313,From Furniture,Home,Furniture,376.14
314,Same Kitchen,Home,Kitchen,19.53
315,Keep Comic,Books,Comics,135.16
316,Issue Camera,Electronics,Cameras,183.26
317,Church Non-Fiction,Books,Non-Fiction,131.28
318,First Phone,Electronics,Phones,256.87
319,However Phone,Electronics,Phones,238.52
320,Create Non-Fiction,Books,Non-Fiction,480.37
321,Somebody Camera,Electronics,Cameras,127.89
322,Note Decor,Home,Decor,287.91
323,Material Phone,Electronics,Phones,403.15
324,Effect Camera,Electronics,Cameras,235.22
325,Time Decor,Home,Decor,278.78
326,Down Accessorie,Electronics,Accessories,284.08
327,First Furniture,Home,Furniture,297.89
328,Toward Non-Fiction,Books,Non-Fiction,275.55
329,Second Women,Clothing,Women,207.97
330,Charge Kid,Clothing,Kids,348.26
331,Sure Accessorie,Electronics,Accessories,330.37
332,Major Kitchen,Home,Kitchen,491.64
333,Who Education,Books,Education,486.42
334,Article Kid,Clothing,Kids,461.03
335,Or Comic,Books,Comics,375.21
336,Itself Laptop,Electronics,Laptops,200.2
337,Keep Camera,Electronics,Cameras,69.7
338,Onto Decor,Home,Decor,463.39
339,Next Comic,Books,Comics,139.62
340,Center Laptop,Electronics,Laptops,386.22
341,Important Laptop,Electronics,Laptops,227.54
342,Eight Garden,Home,Garden,182.35
343,Especially Footwear,Clothing,Footwear,136.18
344,Democrat Phone,Electronics,Phones,344.6
345,Give Laptop,Electronics,Laptops,167.26
346,Radio Laptop,Electronics,Laptops,201.14
347,Bar Accessorie,Electronics,Accessories,495.38
348,Win Camera,Electronics,Cameras,280.2
349,Listen Men,Clothing,Men,402.93
350,Throw Men,Clothing,Men,416.03
351,Hospital Women,Clothing,Women,203.29
352,Best Accessorie,Electronics,Accessories,42.12
353,North Laptop,Electronics,Laptops,224.5
354,Shake Men,Clothing,Men,415.53
355,Themselves Kitchen,Home,Kitchen,233.19
356,Cut Footwear,Clothing,Footwear,200.52
357,Approach Camera,Electronics,Cameras,90.54
358,Executive Women,Clothing,Women,225.78
359,Huge Men,Clothing,Men,310.4
360,Report Garden,Home,Garden,277.59
361,Point Phone,Electronics,Phones,72.93
362,Player Women,Clothing,Women,402.07
363,Among Camera,Electronics,Cameras,182.76
364,Tv Comic,Books,Comics,253.68
365,Baby Comic,Books,Comics,162.84
366,Cup Men,Clothing,Men,390.38
367,Summer Camera,Electronics,Cameras,384.59
368,Sort Women,Clothing,Women,330.15
369,People Kitchen,Home,Kitchen,474.16
370,Shake Comic,Books,Comics,495.81
371,Remain Women,Clothing,Women,162.41
372,Operation Kitchen,Home,Kitchen,179.08
373,Director Women,Clothing,Women,406.15
374,Measure Comic,Books,Comics,23.79
375,Detail Laptop,Electronics,Laptops,14.86
376,True Fiction,Books,Fiction,309.0
377,What Kid,Clothing,Kids,459.8
378,Go Kitchen,Home,Kitchen,295.37
379,Floor Men,Clothing,Men,431.03
380,When Accessorie,Electronics,Accessories,332.76
381,Administration Accessorie,Electronics,Accessories,72.54
382,Development Footwear,Clothing,Footwear,480.53
383,Write Furniture,Home,Furniture,283.18
384,Customer Furniture,Home,Furniture,408.15
385,Site Comic,Books,Comics,150.79
386,Buy Men,Clothing,Men,474.61
387,Skin Fiction,Books,Fiction,162.52
388,Somebody Men,Clothing,Men,74.62
389,Measure Laptop,Electronics,Laptops,163.16
390,Who Accessorie,Electronics,Accessories,136.28
391,Eight Men,Clothing,Men,394.57
392,Safe Phone,Electronics,Phones,367.63
393,Pm Footwear,Clothing,Footwear,192.46
394,Score Fiction,Books,Fiction,395.42
395,Democratic Women,Clothing,Women,400.6
396,Industry Accessorie,Electronics,Accessories,134.26
397,Whole Phone,Electronics,Phones,444.53
398,Education Men,Clothing,Men,449.57
399,Old Accessorie,Electronics,Accessories,308.75
400,Fund Fiction,Books,Fiction,328.55
401,Stand Non-Fiction,Books,Non-Fiction,168.89
402,Fear Footwear,Clothing,Footwear,362.41
403,Husband Decor,Home,Decor,52.48
404,Man Education,Books,Education,183.61
405,None Fiction,Books,Fiction,332.7
406,Range Non-Fiction,Books,Non-Fiction,107.44
407,Her Kitchen,Home,Kitchen,62.18
408,Foot Education,Books,Education,332.21
409,Every Camera,Electronics,Cameras,443.32
410,Here Furniture,Home,Furniture,135.33
411,Must Comic,Books,Comics,137.94
412,Us Laptop,Electronics,Laptops,335.4
413,Modern Accessorie,Electronics,Accessories,209.92
414,Man Men,Clothing,Men,410.11
415,Billion Education,Books,Education,121.64
416,Suggest Kitchen,Home,Kitchen,427.7
417,Seven Laptop,Electronics,Laptops,379.81
418,Manager Women,Clothing,Women,405.19
419,Sort Men,Clothing,Men,494.2
420,Those Non-Fiction,Books,Non-Fiction,315.48
421,Front Decor,Home,Decor,457.52
422,Who Phone,Electronics,Phones,201.69
423,Democrat Decor,Home,Decor,459.0
424,Hospital Camera,Electronics,Cameras,79.07
425,Form Phone,Electronics,Phones,54.99
426,Job Decor,Home,Decor,135.75
427,Answer Education,Books,Education,141.33
428,Order Footwear,Clothing,Footwear,445.34
429,Treat Furniture,Home,Furniture,240.23
430,Do Decor,Home,Decor,409.61
431,Site Decor,Home,Decor,248.35
432,Child Laptop,Electronics,Laptops,487.24
433,Admit Comic,Books,Comics,211.3
434,Every Laptop,Electronics,Laptops,457.15
435,On Education,Books,Education,434.26
436,Worry Laptop,Electronics,Laptops,356.24
437,Pattern Non-Fiction,Books,Non-Fiction,264.52
438,Particularly Laptop,Electronics,Laptops,417.3
439,Service Laptop,Electronics,Laptops,30.03
440,Key Furniture,Home,Furniture,412.64
441,Find Fiction,Books,Fiction,124.76
442,Claim Education,Books,Education,435.89
443,Deal Decor,Home,Decor,447.77
444,Girl Accessorie,Electronics,Accessories,29.58
445,Drug Women,Clothing,Women,340.46
446,Hundred Garden,Home,Garden,432.99
447,Over Camera,Electronics,Cameras,325.45
448,These Laptop,Electronics,Laptops,403.52
449,Else Decor,Home,Decor,191.36
450,Money Garden,Home,Garden,236.02
451,Oil Fiction,Books,Fiction,499.72
452,Real Decor,Home,Decor,58.51
453,Yet Accessorie,Electronics,Accessories,322.09
454,Reveal Decor,Home,Decor,476.33
455,Green Furniture,Home,Furniture,383.91
456,Even Camera,Electronics,Cameras,341.97
457,Source Camera,Electronics,Cameras,133.42
458,Term Education,Books,Education,22.48
459,Middle Kid,Clothing,Kids,115.07
460,Several Comic,Books,Comics,423.48
461,Quality Kid,Clothing,Kids,68.33
462,Sister Furniture,Home,Furniture,450.3
463,Military Laptop,Electronics,Laptops,373.38
464,Magazine Garden,Home,Garden,169.0
465,Concern Decor,Home,Decor,63.3
466,Significant Phone,Electronics,Phones,101.3
467,Stuff Camera,Electronics,Cameras,209.49
468,He Women,Clothing,Women,174.62
469,Condition Non-Fiction,Books,Non-Fiction,359.26
470,Challenge Camera,Electronics,Cameras,493.39
471,Service Kitchen,Home,Kitchen,140.4
472,Office Women,Clothing,Women,382.97
473,Middle Laptop,Electronics,Laptops,318.58
474,Create Education,Books,Education,194.74
475,Whom Laptop,Electronics,Laptops,475.28
476,Visit Furniture,Home,Furniture,7.04
477,Occur Women,Clothing,Women,175.45
478,Quality Men,Clothing,Men,296.39
479,Artist Men,Clothing,Men,152.61
480,Need Garden,Home,Garden,300.2
481,Along Garden,Home,Garden,497.76
482,Those Garden,Home,Garden,98.27
483,Throw Fiction,Books,Fiction,364.95
484,Bad Women,Clothing,Women,296.9
485,You Men,Clothing,Men,327.02
486,Television Camera,Electronics,Cameras,131.62
487,Relate Phone,Electronics,Phones,328.52
488,Anything Phone,Electronics,Phones,211.3
489,South Fiction,Books,Fiction,239.83
490,According Women,Clothing,Women,317.0
491,Itself Garden,Home,Garden,332.93
492,Certain Furniture,Home,Furniture,449.82
493,Thousand Accessorie,Electronics,Accessories,57.6
494,Professor Women,Clothing,Women,416.59
495,During Kid,Clothing,Kids,151.2
496,Author Camera,Electronics,Cameras,345.66
497,Second Comic,Books,Comics,11.31
498,City Phone,Electronics,Phones,336.17
499,Act Men,Clothing,Men,42.15
500,Discover Accessorie,Electronics,Accessories,231.09
